0,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
1,ACCT3603,Hệ thống thông tin kế toán,Accounting Information systems,,HTTT,CN,,,,,3,0
2,ACCT5123,Hoạch định nguồn lực doanh nghiệp,Enterprise Resource Planning,,HTTT,CSN,,,,,3,0
3,ADENG1,Tiếng Anh tăng cường 1,Intensive English 1,,HTTT,ĐC,ENG11,ENG04,,,0,0
4,ADENG2,Tiếng Anh tăng cường 2,Intensive English 2,,HTTT,ĐC,ENG12,,,,0,0
5,ADENG3,Tiếng Anh tăng cường 3,Intensive English 3,,HTTT,ĐC,,ENG05,ADENG2,,0,0
6,ADENG4,Tiếng Anh tăng cường 4,Intensive English 4,,HTTT,ĐC,,ENG03,ADENG3,,0,0
7,AI001,Giới thiệu ngành Trí tuệ nhân tạo,Introduction to AI programs,,KHMT,ĐC,,"CS005
IE005
IS005
SE005
CE005
NT005
NT015
EC005
DS005",,,1,0
8,BOQC1,Nhập môn máy tính lượng tử,Basic of Quantum Computer,,BMTL,BT,,,,,0,0
9,BUS1125,Khởi nghiệp kinh doanh,Entrepreneurship,,PĐTĐH,CN,,,,,2,1
10,CARC1,Kiến trúc máy tính,Computer Architecture,,KTMT,ĐC,,IT006,,,3,0
11,CE005,Giới thiệu ngành Kỹ Thuật Máy tính,Introduction to Computer Engineering,,KTMT,ĐC,,"CS005
IE005
IS005
SE005
NT005
NT015
EC005
DS005
AI001",,,1,0
12,CE101,Lý thuyết mạch điện,Theory of electrical circuits,,KTMT,CSN,,CE121,,,4,0
13,CE102,Hệ thống số,Digital systems,,KTMT,CN,,PH002,,,3,1
14,CE103,Vi xử lý-vi điều khiển,Microprocessors and microcontrollers,,KTMT,CSN,,,,IT006,3,1
15,CE104,Các thiết bị và mạch điện tử,Electronic devices and circuits,,KTMT,CSN,,CE124,,"PH001
CE101",3,0
16,CE105,Xử lý tín hiệu số,Digital signal processing,,KTMT,CSN,CE205,CE205,,"MA001
MA002
MA003",3,1
17,CE106,Thiết kế vi mạch với HDL,Digital Circuit Design with HDL,,KTMT,CN,,CE221,,,3,1
18,CE107,Hệ thống nhúng,Embedded systems,,KTMT,CSN,,CE224,,"IT001
IT006
CE103",3,1
19,CE108,Hệ điều hành nâng cao,Advanced operating systems,,KTMT,CN,,,,,3,0
20,CE109,Lập trình nhúng căn bản,Introduction to embedded-system programming,,KTMT,CN,,CE211,,,2,1
21,CE110,Lập trình hệ thống với Java,System Programming with Java,,KTMT,CN,,CE315,,,3,1
22,CE111,Kiến trúc máy tính nâng cao,Advanced computer architecture,,KTMT,CĐTN,,,,IT006,2,1
23,CE112,Đồ án môn học thiết kế mạch,Circuit design project,,KTMT,ĐA,,CE201,,,0,2
24,CE113,Điều khiển tự động,Automatic Control,,KTMT,CN,,CE212,,,3,0
25,CE114,Lập trình trên thiết bị di động,Mobile device application development,,KTMT,CN,,NT118,,,2,1
26,CE115,Thiết kế mạng,Network design,,KTMT,CN,,NT113,,,3,1
27,CE116,Đồ án môn học ngành KTMT,Information engineering project,,KTMT,ĐA,,CE206,,,0,2
28,CE117,Thực hành điện- điện tử,Basic electrical and electronic laboratory,,KTMT,CSN,,CE124,,"PH001
CE101",0,1
29,CE118,Thiết kế luận lý số,Digital logic design,,KTMT,CSN,,,,PH002,3,1
30,CE119,Thực hành Kiến trúc máy tính,Computer architecture laboratory,,KTMT,CSN,,,,PH002,0,1
31,CE121,Lý thuyết mạch điện,Theory of electrical circuits,,KTMT,CSN,,CE101,,,3,1
